"infer_dem","infer_rep","infer_engaged","infer_agree","infer_black","infer_religious","infer_abort","infer_welfare","infer_pol","infer_engaged2","infer_agree2","infer_ideo2","vignette_warmth_1","treat_vignette","treat_vignette2","vignette","vignette2","vignette_pid","vignette_pid2","treat_vignette_loyal","rand_policy_branded","rand_policy_unbranded","respondent_pid","FL_149_DO_vignette2_infer","age","gender"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Moderately likely","Extremely likely","Extremely likely","Moderately unlikely","Moderately likely","Somewhat","Usually disagree","Very liberal","50","pid_branded","pid_strong_extreme_active","Suppose you meet a person who works as an electrician,  listens to country music, and is a Republican. They believe that same sex couples should not be allowed to adopt children.","Suppose you meet a man who is from South Carolina,  enjoys cooking, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Democrat","Unlike","same sex couples should not be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","2","24","2"
"Extremely unlikely","Moderately likely","Somewhat","Sometimes agree, sometimes disagree","Extremely likely","Moderately unlikely","Slightly unlikely","Slightly likely","Neither likely nor unlikely","A great deal","Sometimes agree, sometimes disagree","Very liberal","26","pid_branded","pid","Suppose you meet a person who is from Ohio,  enjoys shopping, and is a Democrat. They believe that same sex couples should be allowed to adopt children.","Suppose you meet a man who works as a waiter,  listens to pop music, and is a Democrat.","Democrat","Democrat","Like","same sex couples should be allowed to adopt children.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Ind","2","45","1"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Slightly unlikely","Moderately likely","Slightly unlikely","Somewhat","Usually disagree","Somewhat liberal","50","pid","pid_strong","Suppose you meet a person who works as a waiter,  listens to rap music, and is a Republican.","Suppose you meet a man who is from Ohio,  enjoys shopping, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Republican","Democrat","Like","the federal government should make it easier for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Rep","1","54","1"
"Extremely likely","Extremely unlikely","A little bit","Usually disagree","Neither likely nor unlikely","Moderately unlikely","Extremely unlikely","Extremely likely","Extremely likely","A little bit","Usually disagree","Somewhat liberal","50","pid_unbranded","pid","Suppose you meet a person who enjoys reading,  works as a physician's assistant, and is a Democrat. They believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who listens to country music,  is from South Carolina, and is a Democrat.","Democrat","Democrat","Unlike","same sex couples should not be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Ind","2","66","1"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","50","pid","pid_strong","Suppose you meet a person who listens to country music,  enjoys cooking, and is a Democrat.","Suppose you meet a man who works as a personal injury lawyer,  is from Ohio, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Like","the federal government should make it easier for people to buy a gun.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Ind","2","44","2"
"Moderately unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Moderately likely","Extremely unlikely","Moderately unlikely","Moderately likely","Somewhat","Sometimes agree, sometimes disagree","Very liberal","22","pid_unbranded_labeled","pid_weak","Suppose you meet a person who is from South Carolina,  enjoys watching TV, and is a Republican. Like many Republicans, they believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who listens to pop music,  works as a waiter, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Republican","Democrat","Like","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","2","29","2"
"Extremely unlikely","Extremely likely","A great deal","Always disagree","Extremely unlikely","Moderately likely","Extremely likely","Extremely unlikely","Extremely unlikely","None at all","Always disagree","Somewhat conservative","20","pid_unbranded","pid_strong_mod_inactive","Suppose you meet a person who is from Colorado,  enjoys reading, and is a Republican. They believe that the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who works as a physician's assistant,  listens to rock music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Republican","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Ind","1","42","2"
"Moderately unlikely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Slightly unlikely","Extremely likely","Extremely likely","Extremely unlikely","Extremely likely","A great deal","Sometimes agree, sometimes disagree","Somewhat liberal","93","pid_unbranded","pid","Suppose you meet a person who listens to pop music,  enjoys hunting, and is a Republican. They believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who works as an electrician,  is from South Carolina, and is a Democrat.","Republican","Democrat","Unlike","the federal government should make it easier for people to buy a gun.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Ind","2","46","1"
"Extremely likely","Extremely unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Somewhat conservative","41","pid_unbranded_labeled","pid_strong","Suppose you meet a person who listens to pop music,  is from Ohio, and is a Democrat. Like many Democrats, they believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who enjoys hunting,  works as a waiter, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Democrat","Republican","Like","the federal government should make it easier for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","1","52","1"
"Extremely likely","Extremely unlikely","A little bit","Always disagree","Slightly unlikely","Neither likely nor unlikely","Extremely likely","Moderately likely","Moderately unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","67","pid_branded","pid_weak","Suppose you meet a person who listens to country music,  works as an electrician, and is a Democrat. They believe that immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","Suppose you meet a man who enjoys hunting,  is from Massachusetts, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Democrat","Democrat","Like","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","1","46","2"
"Moderately likely","Moderately unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Somewhat liberal","51","pid_branded","pid","Suppose you meet a person who listens to rap music,  is from Ohio, and is a Democrat. They believe that the federal government should make it easier for people to buy a gun.","Suppose you meet a man who enjoys watching TV,  works as a police officer, and is a Democrat.","Democrat","Democrat","Like","the federal government should make it easier for people to buy a gun.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Ind","2","24","1"
"Slightly likely","Moderately unlikely","None at all","Usually disagree","Neither likely nor unlikely","Slightly unlikely","Moderately unlikely","Extremely unlikely","Extremely likely","A great deal","Always disagree","Very liberal","9","pid_unbranded_labeled","pid_strong","Suppose you meet a person who is from Colorado,  listens to country music, and is a Democrat. Unlike many Democrats, they believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who enjoys shopping,  works as an electrician, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Unlike","the federal government should make it more difficult for people to buy a gun.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Rep","1","63","2"
"Extremely likely","Moderately unlikely","A great deal","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Slightly unlikely","Extremely unlikely","Extremely likely","Moderately unlikely","Somewhat","Sometimes agree, sometimes disagree","Somewhat conservative","50","pid_unbranded_labeled","pid","Suppose you meet a person who listens to rock music,  enjoys exercising, and is a Democrat. Unlike many Democrats, they believe that consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Suppose you meet a man who is from South Carolina,  works as a waiter, and is a Republican.","Democrat","Republican","Unlike","the federal government should make it easier for people to buy a gun.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Dem","1","54","1"
"Extremely likely","Extremely unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Moderately likely","Neither likely nor unlikely","Slightly unlikely","Moderately unlikely","Somewhat","Usually agree","Somewhat liberal","69","pid_branded","pid","Suppose you meet a person who works as a personal injury lawyer,  is from Ohio, and is a Democrat. They believe that same sex couples should not be allowed to adopt children.","Suppose you meet a man who listens to pop music,  enjoys watching TV, and is a Republican.","Democrat","Republican","Unlike","same sex couples should not be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","1","38","2"
"Neither likely nor unlikely","Slightly likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Slightly likely","Slightly unlikely","Slightly likely","Moderately unlikely","A great deal","Always disagree","Somewhat conservative","82","pid_branded","pid_strong_mod_inactive","Suppose you meet a person who listens to country music,  enjoys shopping, and is a Republican. They believe that the federal government should make it more difficult for people to buy a gun.","Suppose you meet a man who works as an electrician,  is from Colorado, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Republican","Like","the federal government should make it more difficult for people to buy a gun.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","1","40","2"
"Extremely likely","Extremely unlikely","Somewhat","Usually disagree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Extremely likely","Extremely likely","A great deal","Usually disagree","Very liberal","50","pid","pid_strong_extreme_active","Suppose you meet a person who works as a personal injury lawyer,  is from Colorado, and is a Democrat.","Suppose you meet a man who enjoys watching TV,  listens to rock music, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Democrat","Democrat","Unlike","the federal government should make it more difficult for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Ind","2","51","2"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Usually disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","A little bit","Sometimes agree, sometimes disagree","Somewhat conservative","96","pid_unbranded_labeled","pid","Suppose you meet a person who is from South Carolina,  enjoys shopping, and is a Democrat. Unlike many Democrats, they believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who works as a physician's assistant,  listens to pop music, and is a Republican.","Democrat","Republican","Unlike","the federal government should make it more difficult for people to buy a gun.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","1","69","2"
"Extremely likely","Extremely unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Moderately likely","Extremely unlikely","Slightly likely","Extremely unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","62","pid_branded","pid_weak","Suppose you meet a person who enjoys hunting,  works as a waiter, and is a Democrat. They believe that immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","Suppose you meet a man who is from Colorado,  listens to rock music, and is a Democrat. He doesn't think the term 'Democrat' describes him very well. When he talks about Democrats he uses the word 'they.' When someone criticizes Democrats, he doesn't feel like they are criticising him.","Democrat","Democrat","Like","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","2","48","2"
"Extremely likely","Extremely unlikely","A great deal","Usually disagree","Moderately unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Moderately likely","Somewhat","Usually disagree","Somewhat liberal","82","pid","pid_strong_mod_inactive","Suppose you meet a person who listens to rap music,  enjoys hunting, and is a Democrat.","Suppose you meet a man who is from Massachusetts,  works as an electrician, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Democrat","Like","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","1","46","1"
"Moderately likely","Extremely likely","None at all","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Extremely likely","Extremely unlikely","A great deal","Usually agree","Very conservative","50","pid_unbranded_labeled","pid_strong_extreme_active","Suppose you meet a person who enjoys cooking,  works as a physician's assistant, and is a Democrat. Unlike many Democrats, they believe that consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Suppose you meet a man who is from Massachusetts,  listens to rap music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Democrat","Republican","Unlike","the federal government should make it easier for people to buy a gun.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Dem","1","48","1"
"Moderately likely","Moderately unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Slightly likely","Extremely likely","A great deal","Usually disagree","Very conservative","35","pid_unbranded_labeled","pid_strong_extreme_active","Suppose you meet a person who works as a waiter,  listens to rap music, and is a Democrat. Unlike many Democrats, they believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who is from Colorado,  enjoys hunting, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is extremely conservative. He believes that federal taxes and spending should be greatly decreased, and that abortion should be illegal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Democrat","Republican","Unlike","same sex couples should not be allowed to adopt children.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","2","50","2"
"Extremely likely","Moderately unlikely","None at all","Always disagree","Extremely likely","Extremely likely","Extremely likely","Extremely unlikely","Extremely unlikely","A great deal","Always agree","Very conservative","50","pid_unbranded","pid_weak","Suppose you meet a person who listens to pop music,  enjoys watching TV, and is a Democrat. They believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who is from California,  works as a waiter, and is a Republican. He doesn't think the term 'Republican' describes him very well. When he talks about Republicans he uses the word 'they.' When someone criticizes Republicans, he doesn't feel like they are criticising him.","Democrat","Republican","Like","same sex couples should not be allowed to adopt children.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","2","64","2"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Moderately likely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Always disagree","Very liberal","30","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who is from Ohio,  listens to country music, and is a Republican. Unlike many Republicans, they believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who enjoys shopping,  works as a police officer, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Democrat","Unlike","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Ind","1","19","2"
"Extremely unlikely","Extremely likely","A great deal","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Extremely unlikely","Moderately likely","Somewhat","Usually disagree","Somewhat liberal","68","pid","pid","Suppose you meet a person who works as a personal injury lawyer,  listens to pop music, and is a Republican.","Suppose you meet a man who enjoys shopping,  is from South Carolina, and is a Democrat.","Republican","Democrat","Like","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Rep","2","56","2"
"Neither likely nor unlikely","Slightly unlikely","A great deal","Usually agree","Neither likely nor unlikely","Moderately unlikely","Extremely unlikely","Neither likely nor unlikely","Slightly likely","A great deal","Usually disagree","Very conservative","100","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who listens to rock music,  is from Colorado, and is a Republican. Like many Republicans, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who enjoys shopping,  works as an electrician, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is moderately liberal. He believes that federal taxes and spending should not be decreased, and that abortion should be legal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Democrat","Like","same sex couples should not be allowed to adopt children.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","1","23","2"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Moderately likely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Usually agree","Somewhat conservative","40","pid","pid_strong","Suppose you meet a person who works as a physician's assistant,  enjoys watching TV, and is a Republican.","Suppose you meet a man who is from California,  listens to rap music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Republican","Republican","Like","the federal government should make it easier for people to buy a gun.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Dem","1","57","2"
"Slightly unlikely","Slightly likely","Somewhat","Sometimes agree, sometimes disagree","Slightly unlikely","Slightly likely","Slightly likely","Slightly unlikely","Slightly unlikely","Somewhat","Sometimes agree, sometimes disagree","Somewhat liberal","65","pid_branded","pid_strong","Suppose you meet a person who works as a police officer,  enjoys reading, and is a Republican. They believe that same sex couples should not be allowed to adopt children.","Suppose you meet a man who listens to rock music,  is from Ohio, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Republican","Democrat","Unlike","same sex couples should not be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Ind","2","67","1"
"Moderately unlikely","Moderately likely","A great deal","Usually disagree","Extremely unlikely","Slightly likely","Extremely likely","Extremely unlikely","Extremely likely","A great deal","Always disagree","Very liberal","73","pid_branded","pid_strong","Suppose you meet a person who listens to pop music,  works as an electrician, and is a Republican. They believe that immigrants brought to the U.S. illegally as children should be sent back to where they came from.","Suppose you meet a man who enjoys watching TV,  is from South Carolina, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Republican","Democrat","Unlike","immigrants brought to the U.S. illegally as children should be sent back to where they came from.","the government should be able to seize private land if it is needed for a public project and the owner is fairly compensated.","Rep","1","47","1"
"Extremely unlikely","Extremely likely","Somewhat","Sometimes agree, sometimes disagree","Slightly likely","Slightly likely","Extremely unlikely","Neither likely nor unlikely","Slightly likely","A great deal","Usually agree","Moderate","48","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who works as an electrician,  is from Ohio, and is a Republican. Unlike many Republicans, they believe that mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Suppose you meet a man who listens to rock music,  enjoys shopping, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Republican","Republican","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Dem","2","18","2"
"Extremely unlikely","Extremely likely","A little bit","Sometimes agree, sometimes disagree","Moderately likely","Slightly unlikely","Extremely likely","Moderately likely","Extremely likely","Somewhat","Usually disagree","Very conservative","55","pid","pid_strong","Suppose you meet a person who is from South Carolina,  enjoys cooking, and is a Republican.","Suppose you meet a man who works as a waiter,  listens to rock music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Republican","Republican","Unlike","same sex couples should not be allowed to adopt children.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Dem","1","67","2"
"Neither likely nor unlikely","Neither likely nor unlikely","","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","54","pid","pid_strong_extreme_active","Suppose you meet a person who listens to rap music,  works as an electrician, and is a Republican.","Suppose you meet a man who enjoys reading,  is from South Carolina, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Democrat","Like","the federal government should make it more difficult for people to buy a gun.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Ind","1","40","2"
"Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Slightly unlikely","Extremely unlikely","A great deal","Sometimes agree, sometimes disagree","Moderate","50","pid_branded","pid_strong","Suppose you meet a person who works as a physician's assistant,  is from Ohio, and is a Republican. They believe that the federal government should make it easier for people to buy a gun.","Suppose you meet a man who listens to country music,  enjoys reading, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Republican","Republican","Like","the federal government should make it easier for people to buy a gun.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","1","59","2"
"Moderately likely","Extremely unlikely","Somewhat","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Moderately unlikely","Slightly likely","Moderately likely","Somewhat","Sometimes agree, sometimes disagree","Very conservative","0","pid","pid_strong_mod_inactive","Suppose you meet a person who works as a personal injury lawyer,  is from Massachusetts, and is a Democrat.","Suppose you meet a man who enjoys shopping,  listens to country music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Republican","Like","same sex couples should not be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Dem","2","27","2"
"Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","Somewhat","Usually agree","Moderate","84","pid_unbranded_labeled","pid","Suppose you meet a person who works as a police officer,  listens to rap music, and is a Democrat. Unlike many Democrats, they believe that the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Suppose you meet a man who enjoys watching sports,  is from Ohio, and is a Democrat.","Democrat","Democrat","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","the government should never be allowed to seize a citizen’s private land, even if the land is needed for a public project and the owner is fairly compensated.","Rep","1","55","2"
"Slightly likely","Moderately unlikely","A little bit","Sometimes agree, sometimes disagree","Slightly likely","Slightly likely","Slightly unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","55","pid_unbranded","pid_strong","Suppose you meet a person who works as a waiter,  is from Ohio, and is a Democrat. They believe that consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Suppose you meet a man who enjoys watching TV,  listens to pop music, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Like","same sex couples should not be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Ind","2","20","2"
